"Parcela","Cultura","IQS_ANOVA","IQS_Fuzzy","IQS_PLS","IQS_MARS","IQS_RF","MetaIQS_Borda","Rank_ANOVA","Rank_Fuzzy","Rank_PLS","Rank_MARS","Rank_RF"
"MT","Pigeon pea",7.4225279389879,6.43163005173773,7.81952222222222,6.41585928533332,6.43201969688812,92.2444444444444,1,1,1,1,1
"MT","Cowpea",6.2165777490136,5.38624799066182,6.29085555555556,5.37457706183553,5.39471927288699,69.4444444444444,2,6,3,6,6
"MT","Millet",5.7022617962757,5.47339758553019,6.87572222222222,5.48241068725793,5.46540324061031,68.9555555555555,4,5,2,5,5
"CT","Cowpea",4.33729930647648,5.88446456542357,4.03193333333333,5.88659545927452,5.90785455466199,67.2,6,2,7,2,2
"MT","Sunn hemp",5.67156166471859,5.59048236476469,5.99913333333333,5.57345508830983,5.55723313747797,67,5,4,4,4,4
"NT","Pigeon pea",5.92827353715191,5.59280481963626,4.2797,5.59101191477653,5.56244988536695,64.5555555555556,3,3,6,3,3
"NT","Millet",3.90459217877759,5.30942607666074,4.33633333333333,5.31595932695837,5.25570723671007,55.6666666666667,7,7,5,7,7
"NT","Sunn hemp",3.40322709904761,5.17502469183448,3.25182222222222,5.16333963228768,5.19408415371176,46.4,9,8,9,8,8
"NT","Cowpea",3.63490395537054,4.45053913481822,3.45177777777778,4.46164930867928,4.45289462266877,38.5777777777778,8,10,8,10,10
"CT","Sunn hemp",2.44343850617145,4.87073293008406,1.7791,4.90486024727657,4.856551040423,35.4,10,9,10,9,9
"CT","Millet",2.12113355569855,4.40445036933605,1.31452222222222,4.40764296354501,4.43283580779603,26.2888888888889,11,11,11,11,11
"CT","Pigeon pea",1.87472954100546,4.30958777091726,0.723877777777778,4.30142737587053,4.33755148989558,22.2666666666667,12,12,12,12,12
