"Indicator","Original Est.","Bootstrap Mean","Bootstrap SD","T Stat.","2.5% CI","97.5% CI","Bootstrap P Val"
"DMG  ->  FISICO",0.0680579003520467,0.0601997141469517,0.192338922575073,0.353843618550388,-0.286023709816162,0.408681739992076,0.792
"ECOS  ->  FISICO",0.0864946996989542,0.0544810283649131,0.217235373822778,0.398161211854553,-0.390686165352874,0.473445943418635,0.784
"NAG  ->  FISICO",0.152825310831507,0.0429273321845429,0.216202851158744,0.706860756055884,-0.364907353372037,0.434652245843205,0.864
"ICV  ->  FISICO",0.0305095136833068,0.0305322511295119,0.196298234322715,0.155424289925853,-0.339985062697193,0.436014873311426,0.888
"MI  ->  FISICO",-0.30065941476332,0.0852953763436143,0.315078851893756,-0.954235465047024,-0.496460943809794,0.604830359826271,0.8
"MA  ->  FISICO",0.68362480319331,-0.00929498745570263,0.691472947920348,0.988650105907047,-1.0851929366687,1.16977730992869,0.924
"VIB  ->  FISICO",0.178187881294635,0.0389159380178228,0.267983144761742,0.664921972809364,-0.478815313563522,0.545461029997389,0.9
"RP  ->  FISICO",0.314287368682266,-0.00990953574949568,0.374321259866564,0.839619338731391,-0.661841251682105,0.679418730043291,0.98
"ADPT  ->  FISICO",1.19968059266308,-0.00198376236545668,1.10832202092609,1.08242962786271,-1.40572299634669,1.4668626575939,0.924
"PH  ->  QUIMICO",-0.365288323322948,-0.308700145295261,0.206167820901075,-1.77180086458896,-0.614918662894834,0.420710170408963,0.092
"PHOS  ->  QUIMICO",-0.507926243509122,-0.425046178005312,0.263330983791832,-1.9288510459166,-0.74582733538626,0.515340209461257,0.088
"KPOT  ->  QUIMICO",-0.0435653880552354,-0.0256813246945274,0.242436508530335,-0.179698133417823,-0.505724815253488,0.435204584460569,0.936
"MG  ->  QUIMICO",0.096259808358094,0.0857831125429159,0.195595600746912,0.492136878286173,-0.318873005145976,0.436837307398825,0.64
"CTC  ->  QUIMICO",-0.197336349202423,-0.163892327270392,0.209973394171347,-0.939815970405225,-0.510277084666239,0.459080016167717,0.316
"ESTN  ->  QUIMICO",0.618089321044202,0.55106515604002,0.330141009696012,1.87219794842612,-0.510199891289264,1.06359363597952,0.088
"QMIC  ->  MICRO",-0.580279237848852,-0.40313624887548,0.445364780800301,-1.30293023351805,-0.982070234834782,0.80407550475657,0.276
"QCO2  ->  MICRO",0.357485761957624,0.304595314353832,0.294955292448317,1.21199982204172,-0.426441829931498,0.780034278562751,0.276
"CCO2  ->  MICRO",-0.246436454132139,-0.0998602702637915,0.36319184337914,-0.678529704409914,-0.718294525610654,0.749867863343432,0.656
"NMIC  ->  MICRO",0.927074037996419,0.670619038109805,0.596117287077053,1.5551873064144,-0.896972737097053,1.05040934784622,0.276
"ALT  ->  AGRO",0.600597265681038,0.602313448411837,0.0890677898970003,6.74314773472632,0.395513095891865,0.758627902446847,0
"DESP  ->  AGRO",0.123966359192602,0.115854818243308,0.0868579915461855,1.42723032142281,-0.0564495053035098,0.29926389850871,0.172
"CESP  ->  AGRO",0.336905140343026,0.325105078116987,0.0809148156082984,4.16370151510886,0.168145113673754,0.481561426665973,0
"STND  ->  AGRO",0.529405579161847,0.528200573098828,0.108110993275238,4.89687092055517,0.31660421861455,0.718784716734618,0.004
"NESP  ->  REND",0.534113212507892,0.536245294720854,0.0510651782424171,10.4594408732374,0.436817389771161,0.621098050890622,0
"PESP  ->  REND",0.642796094082179,0.637206605770386,0.0520786180575935,12.3428024409425,0.557830910063379,0.764768314652073,0
