"Indicator","Construct","VIF"
"DMG","FISICO",1.15207969687966
"ECOS","FISICO",1.49984344274182
"NAG","FISICO",1.04456409100379
"ICV","FISICO",1.44409543654776
"MI","FISICO",1.67462863486468
"MA","FISICO",4.45190119214304
"VIB","FISICO",3.12048220063866
"RP","FISICO",2.26796423378551
"ADPT","FISICO",2.88458559536423
"PH","QUIMICO",1.14068288188418
"PHOS","QUIMICO",2.15578380804524
"KPOT","QUIMICO",2.69169911534323
"MG","QUIMICO",1.48800293592369
"CTC","QUIMICO",1.53932565371935
"ESTN","QUIMICO",3.19748942685369
"QMIC","MICRO",1.9855261955628
"QCO2","MICRO",2.52726532084699
"CCO2","MICRO",2.03132187059444
"NMIC","MICRO",1.08631872632425
"ALT","AGRO",1.38689425846232
"DESP","AGRO",1.41800255273594
"CESP","AGRO",1.16368972405354
"STND","AGRO",1.23775162094424
"NESP","REND",1.23891778253995
"PESP","REND",1.23891778253995
