Parcela,Cultura,Ca_cmolc_dm3,Mg_cmolc_dm3,Al_cmolc_dm3,HAl_cmolc_dm3,SB_cmolc_dm3,T_cmolc_dm3,V_pct,m_pct,MOS_g_kg,EstN_kg_ha,MI_pct,MA_pct,VIB_mm_h,RP_KPa,AD_PT,qMIC,qCO2,CCO2_g_kg,CMIC_ug_g,NMIC_mg_kg
CT,Cowpea,1.04,0.54,0.05,1.73,1.54,3.27,46.9433,3.17,10.6333,712.0433,19.86,15.4933,12.0,1.3133,0.1967,22.2667,4.7833,87.01,93.78,13.5533
CT,Millet,1.1433,0.6567,0.0533,1.64,1.91,3.5367,54.04,2.7267,12.9333,802.5867,21.62,12.4267,6.0,1.0867,0.27,15.6067,10.0833,159.1967,74.46,17.2367
CT,Pigeon pea,1.2733,0.8333,0.0433,1.39,2.1967,3.5867,61.0333,1.9367,11.9667,658.3067,20.2533,11.77,11.0,0.88,0.26,11.9967,16.2733,128.2533,48.52,3.3267
CT,Sunn hemp,1.28,0.81,0.0567,1.2967,2.2,3.4533,55.3367,2.44,11.9333,797.5933,22.9667,12.2033,13.5,0.9233,0.2267,15.4267,5.1967,40.2867,59.7267,1.79
MT,Cowpea,1.1567,0.7367,0.04,1.48,1.9633,3.6667,53.8267,1.89,14.1333,888.4967,22.3967,11.1967,55.0,0.64,0.2067,7.99,20.7767,124.1167,36.39,18.2967
MT,Millet,1.44,0.99,0.0367,1.3867,2.5,3.8867,64.35,1.44,14.8333,897.8067,23.85,14.1967,54.0,1.02,0.2,11.42,12.7267,118.2667,57.7,9.18
MT,Pigeon pea,1.3,0.9367,0.05,1.4967,2.3133,3.81,60.9167,2.3567,15.7333,968.4067,22.5,15.06,93.0,0.6867,0.21,11.9967,5.4567,94.96,105.9767,16.69
MT,Sunn hemp,1.2633,0.94,0.0367,1.37,2.1767,3.76,58.06,1.4567,14.5,901.8267,22.9867,13.41,36.0,0.72,0.2433,13.3433,5.8833,111.6933,90.6867,7.66
NT,Cowpea,1.3967,0.6867,0.0433,1.43,2.2567,3.4467,63.6067,1.61,12.6667,667.85,20.6867,20.3533,321.0,0.6933,0.1867,16.6767,3.49,58.29,100.1067,8.17
NT,Millet,1.21,0.6867,0.0867,1.6433,1.89,3.5333,48.19,4.7367,13.0667,822.76,20.8567,21.31,159.0,0.5267,0.1833,60.6467,2.02,127.9933,324.61,18.4067
NT,Pigeon pea,1.2067,0.6733,0.08,1.9133,1.98,3.8933,50.8533,4.14,13.9333,854.1233,22.79,17.7167,57.0,0.76,0.1833,15.1833,3.1433,49.52,97.0467,15.16
NT,Sunn hemp,1.1667,0.5467,0.1067,2.0767,1.6867,3.7233,44.72,5.9167,13.5,865.91,22.0533,17.82,72.0,1.0533,0.17,25.83,8.3433,141.65,138.54,2.6933
