Sistema,Cultura,N_plantas_ha,N_espigas_ha,Peso_espigas_com_kg_ha
CC,Caupi,63.715,24.421,5.762
CC,Guandu,51.100,18.576,7.859
CC,Crotalaria,59.201,25.781,6.978
CC,Milheto,61.748,24.219,6.373
CC,Media,58.941,23.249,6.743
CM,Caupi,58.681,25.694,7.470
CM,Guandu,60.706,19.444,5.527
CM,Crotalaria,49.132,20.660,5.532
CM,Milheto,50.405,22.396,6.386
CM,Media,54.731,22.0489,6.229
PD,Caupi,60.7634,29.803,9.112
PD,Guandu,59.462,38.368,11.246
PD,Crotalaria,59.838,33.912,10.475
PD,Milheto,60.243,33.507,10.217
PD,Media,60.077,33.898,10.262
