"Sistema","Cultura","Beta","R2","P_Valor","Incremento_Perc"
"NT","Cowpea",1.33541931642359,0.99503954550236,7.21489475976497e-20,22.0344187209892
"NT","Millet",0.0203066821261344,0.0364761378639338,0.447763992697646,0.414507532059237
"NT","Sunn hemp",0.333325234816537,0.443148426335311,0.00256523457344209,9.04087623201019
"NT","Pigeon pea",0.452108083842384,0.0540219018134225,0.353352532898626,9.42288427376759
"MT","Cowpea",-0.91957662992956,0.0781983481915218,0.261079937462014,-12.9132037394364
"MT","Millet",0.725411941385407,0.68905303893802,2.01893721181538e-05,10.4840557952052
"MT","Sunn hemp",1.58552531325306,0.331757711975743,0.0123626604946781,27.7817709755846
"MT","Pigeon pea",-1.52705194103062,0.935689832104839,5.91732259684178e-11,-16.2557142109711
"CT","Cowpea",11.3017218034943,0.771422422442781,1.63989401648777e-06,201.598280819087
"CT","Millet",-1.43056972334787,0.899560968661832,2.13130408209162e-09,-123.153393575164
"CT","Sunn hemp",0.988990876182905,0.667737286338033,3.47779027970176e-05,26.8246840389336
"CT","Pigeon pea",-0.157910612179714,0.00514730368788625,0.7772542161077,-12.5065204846333
